Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1950","1950","1000 No","41883.119","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1950","1950","1000 No","18748.739","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1950","1950","1000 No","23130.866","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1951","1951","1000 No","42333.662","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1951","1951","1000 No","18607.969","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1951","1951","1000 No","23462.95","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1952","1952","1000 No","42780.273","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1952","1952","1000 No","18510.554","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1952","1952","1000 No","23855.025","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1953","1953","1000 No","43227.88","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1953","1953","1000 No","18438.843","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1953","1953","1000 No","24285.38","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1954","1954","1000 No","43676.898","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1954","1954","1000 No","18364.773","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1954","1954","1000 No","24753.073","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1955","1955","1000 No","44136.09","X","Chiffre de source externe",""
