Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20002002","2000-2002","%","148","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20012003","2001-2003","%","148","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20022004","2002-2004","%","147","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20032005","2003-2005","%","145","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20042006","2004-2006","%","145","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20052007","2005-2007","%","144","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20062008","2006-2008","%","144","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20072009","2007-2009","%","144","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20082010","2008-2010","%","144","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20092011","2009-2011","%","143","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20102012","2010-2012","%","142","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20112013","2011-2013","%","141","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20122014","2012-2014","%","140","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20132015","2013-2015","%","140","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20142016","2014-2016","%","140","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20152017","2015-2017","%","140","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20162018","2016-2018","%","141","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20172019","2017-2019","%","141","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20182020","2018-2020","%","141","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20192021","2019-2021","%","142","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20202022","2020-2022","%","143","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","250","France","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20212023","2021-2023","%","143","E","Valeur estimée",""
