Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","1991","1991","1000 USD","56319073","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","1992","1992","1000 USD","55644698","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","1993","1993","1000 USD","47331889","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","1994","1994","1000 USD","51381855","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","1995","1995","1000 USD","56895976","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","1996","1996","1000 USD","56766853","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","1997","1997","1000 USD","54259693","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","1998","1998","1000 USD","53193656","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","1999","1999","1000 USD","49997394","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2000","2000","1000 USD","43373947","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2001","2001","1000 USD","41264926","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2002","2002","1000 USD","43379201","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2003","2003","1000 USD","50079305","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2004","2004","1000 USD","53937668","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2005","2005","1000 USD","53716519","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2006","2006","1000 USD","57649846","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2007","2007","1000 USD","68347578","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2008","2008","1000 USD","74523376","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2009","2009","1000 USD","63493769","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2010","2010","1000 USD","69348268","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2011","2011","1000 USD","78275959","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2012","2012","1000 USD","76054880","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2013","2013","1000 USD","75966492","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2014","2014","1000 USD","76804681","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2015","2015","1000 USD","65535539","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2016","2016","1000 USD","63577529","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2017","2017","1000 USD","66353533","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2018","2018","1000 USD","71161158","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2019","2019","1000 USD","67042757","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2020","2020","1000 USD","71389174","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2021","2021","1000 USD","83868478","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2022","2022","1000 USD","86136605","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2023","2023","1000 USD","87862674","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2051","Agriculture","2024","2024","1000 USD","82336217","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","1991","1991","1000 USD","25070856","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","1992","1992","1000 USD","26265772","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","1993","1993","1000 USD","23397586","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","1994","1994","1000 USD","24104393","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","1995","1995","1000 USD","26877586","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","1996","1996","1000 USD","27434984","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","1997","1997","1000 USD","24747387","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","1998","1998","1000 USD","23508665","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","1999","1999","1000 USD","21174893","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2000","2000","1000 USD","18253243","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2001","2001","1000 USD","18561515","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2002","2002","1000 USD","18463106","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2003","2003","1000 USD","21729012","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2004","2004","1000 USD","23734540","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2005","2005","1000 USD","24081059","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2006","2006","1000 USD","23564152","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2007","2007","1000 USD","26612083","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2008","2008","1000 USD","32215556","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2009","2009","1000 USD","27343624","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2010","2010","1000 USD","27002599","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2011","2011","1000 USD","31189855","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2012","2012","1000 USD","29650721","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2013","2013","1000 USD","30967651","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2014","2014","1000 USD","31496611","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2015","2015","1000 USD","24897940","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2016","2016","1000 USD","24043613","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2017","2017","1000 USD","26373195","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2018","2018","1000 USD","26964301","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2019","2019","1000 USD","26327623","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2020","2020","1000 USD","26532019","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2021","2021","1000 USD","28275919","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2022","2022","1000 USD","28216530","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2023","2023","1000 USD","30245717","E","Valeur estimée"
"QV","Valeur de la Production Agricole","250","France","57","Production Brute (millier US$)","F2044","Élevage","2024","2024","1000 USD","29985002","E","Valeur estimée"
